Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Huangfu, Zhengzheng",HIEA 134 - Thought/Reli China:Confuciansm (A),SP12,24,21,71.4 %,76.2 %,6.12,B+ (3.41),B+ (3.32)
"Kim, Gloria",HILD 7B - Race & Ethnicity/United States (A),S211,44,20,89.5 %,100.0 %,5.97,B+ (3.38),B+ (3.32)
"Patterson, Patrick H.",HIEU 118 - Americanization in Europe (A),SP11,114,56,87.0 %,98.2 %,8.61,B+ (3.57),B+ (3.32)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),WI11,20,10,80.0 %,90.0 %,6.9,B (3.29),B+ (3.32)
"Esherick, Joseph W",HIEA 130 - End of Chin Empire/1800-1911 (A),SP10,64,24,91.7 %,95.8 %,5.17,B+ (3.48),B+ (3.32)
"Owzar, Armin",HIEU 137 - New Imperialsm to Decoloniztn (A),SP10,25,11,90.9 %,90.9 %,6.14,A- (3.90),B+ (3.32)
"Jordan, Ryan P",HILD 2A - United States History (A),FA09,160,91,80.2 %,91.2 %,4.34,B+ (3.36),B+ (3.32)
"Miano, David Ringo",HIEU 105 - The Early Christian Church (A),SP09,118,67,95.3 %,96.8 %,3.83,A- (3.74),B+ (3.32)
"Provence, Michael",HINE 119 - Contemp Middle East Conflicts (A),FA08,113,61,96.6 %,91.2 %,4.53,B+ (3.47),B+ (3.32)
"Cesena, Maria T.",HIUS 108B - History/Native Americans/US II (A),SP08,28,19,88.9 %,77.8 %,4.08,N/A,B+ (3.32)
"Gallant, Thomas W.",HIEU 116A - Greece/Balkans/Age/Ottoman (A),FA15,79,31,100.0 %,100.0 %,3.92,B+ (3.63),B+ (3.33)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),FA15,53,21,88.2 %,88.2 %,3.32,B+ (3.31),B+ (3.33)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),SP14,33,9,88.9 %,100.0 %,4,B+ (3.57),B+ (3.33)
"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI14,41,35,97.1 %,100.0 %,5.07,B+ (3.53),B+ (3.33)
"Aronova, Elena",HISC 114 - The Darwinian Legacy (A),SP12,42,23,69.6 %,68.2 %,3.8,B+ (3.65),B+ (3.33)
"Klein, Rachel",HIUS 131D - Cultural Hist./Civil War-Prese (A),SP12,31,12,100.0 %,91.7 %,5.17,B+ (3.45),B+ (3.33)
"Truant, Cynthia M",HIEU 131 - French Revolution 1789-1814 (A),WI12,111,50,75.0 %,56.3 %,4.96,B+ (3.41),B+ (3.33)
"Provence, Michael",HINE 116 - Mid East/Age of Euro Empires (A),WI12,92,45,86.7 %,90.9 %,3.97,B+ (3.36),B+ (3.33)
"Hanna, Mark G.",HILD 2A - United States History (A),FA11,167,97,82.3 %,91.6 %,5.14,B+ (3.37),B+ (3.33)
"Radcliff, Pamela B.",HIEU 149 - Women in Europe: 1870-Present (A),WI11,103,54,96.3 %,98.1 %,5.14,B+ (3.60),B+ (3.33)
"Weeks, William E",HIUS 106B - Amer Foreign Relatns since1900 (A),WI09,22,20,100.0 %,100.0 %,5.1,B+ (3.47),B+ (3.33)
"Wilson, Rai I.",HIUS 128 - African-American Legal History (A),SP08,40,29,100.0 %,92.9 %,3.19,B+ (3.46),B+ (3.33)
"Goodblatt, David",HINE 102 - The Jews/Their Homelnd/Antiqty (A),WI17,20,11,100.0 %,100.0 %,6.1,B+ (3.33),B+ (3.34)
"Kwak, Nancy",HILD 7B - Race & Ethnicity/United States (A),S216,66,19,84.2 %,94.7 %,6.5,B+ (3.30),B+ (3.34)
"Provence, Michael",HINE 119 - U.S. Mid-East Policy-Post WWII (A),WI16,66,29,96.3 %,85.2 %,4.9,A- (3.72),B+ (3.34)
"Hendrickson, Gerald M.",HIUS 145 - From New Era to New Deal (A),WI15,40,19,94.4 %,100.0 %,4.28,B+ (3.44),B+ (3.34)
"Edelman, Robert S.",HIEU 156 - Hist. Soviet Union 1905-1991 (A),FA14,60,26,92.0 %,72.0 %,4.1,B (3.29),B+ (3.34)
"Plant, Rebecca Jo",HIUS 156 - American Women/Amern Womanhood (A),FA14,49,20,94.7 %,94.7 %,4.61,A- (3.72),B+ (3.34)
"Wishon, Mark T",HIEU 150 - Modern British History (A),SP13,29,10,100.0 %,100.0 %,4.5,B+ (3.63),B+ (3.34)
"Meade, Everard",HILA 132D - History of Contemporary Mexico (A),SP12,39,18,94.4 %,100.0 %,6.94,B+ (3.39),B+ (3.34)
"Biess, Frank Peter",HITO 133 - War & Society/Second World War (A),WI12,60,25,100.0 %,96.0 %,6.26,B+ (3.44),B+ (3.34)
"Radcliff, Pamela B.","HIEU 146 - Fascism,Communism 1919-1945 (A)",FA10,138,63,95.2 %,93.7 %,5.23,B+ (3.41),B+ (3.34)
"Clark, William",HISC 104 - History of Popular Science (A),FA10,65,32,84.4 %,96.9 %,5.06,A- (3.71),B+ (3.34)
"Reynolds, Edward",HIAF 112 - West Africa Since 1880 (A),WI10,62,22,86.4 %,95.5 %,3.41,B+ (3.58),B+ (3.34)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),FA09,130,64,81.0 %,75.8 %,2.82,B+ (3.53),B+ (3.34)
"Hertz, Deborah",HITO 105 - Jewish Modernity/1648 - 1948 (A),SP08,40,22,81.0 %,81.8 %,3.5,B+ (3.45),B+ (3.34)
"Vitz, Matthew",HILA 132 - History of Contemporary Mexico (A),WI15,55,26,86.4 %,86.4 %,3.77,B+ (3.53),B+ (3.35)
"Propp, William Henry",HINE 112A - Great Stories Hebrew Bible (A),WI14,21,14,78.6 %,78.6 %,2.93,B+ (3.33),B+ (3.35)
"Klein, Rachel",HIUS 130 - Cultural Hist/1607-Civil War (A),FA12,111,35,96.8 %,100.0 %,4.95,A- (3.73),B+ (3.35)
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),S112,31,10,66.7 %,77.8 %,5.1,B+ (3.60),B+ (3.35)
"Meade, Everard",HITO 119 - Human Rights I: Hist. & Theory (A),WI12,23,9,88.9 %,77.8 %,6.94,B+ (3.57),B+ (3.35)
"Meade, Everard",HITO 119 - Human Rights I: Hist. & Theory (A),WI12,18,10,80.0 %,80.0 %,7.1,B+ (3.30),B+ (3.35)
"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI11,93,47,100.0 %,100.0 %,5.05,B+ (3.53),B+ (3.35)
"Plant, Rebecca Jo",HIUS 156 - American Women/Amern Womanhood (A),FA10,87,49,91.8 %,98.0 %,5.6,B+ (3.67),B+ (3.35)
"Esherick, Joseph W",HIEA 131 - China/War & Revolution 1911-49 (A),FA09,76,61,93.3 %,95.0 %,5.42,B+ (3.50),B+ (3.35)
"Clark, William",HISC 104 - History of Popular Science (A),FA09,39,31,92.9 %,92.9 %,2.78,B+ (3.35),B+ (3.35)
"Robbins, Richard",HIEU 134 - Formatn Russian Emp 800-1855 (A),FA08,51,19,94.7 %,89.5 %,3.76,B+ (3.68),B+ (3.35)
"Goodblatt, David",HINE 103 - The Jewish Diaspora/Antiquity (A),WI08,48,35,88.6 %,97.1 %,3.87,B+ (3.45),B+ (3.35)
"Provence, Michael",HINE 116 - Mid East/Age of Euro Empires (A),WI08,56,31,100.0 %,96.7 %,3.34,B+ (3.50),B+ (3.35)
"Hertz, Deborah",HIEU 132 - Germany From Luther to Bismark (A),FA07,72,42,78.0 %,65.9 %,4.31,B+ (3.47),B+ (3.35)
"Merrill O'Keefe, Amy Roxanne",HIEA 131 - China/War & Revolution 1911-49 (A),FA17,45,39,84.6 %,86.8 %,5.83,B (3.18),B+ (3.36)
"O'Keefe, Amy Merrill",HIEA 126 - The Silk Road (A),S117,24,15,93.3 %,92.9 %,7.03,B+ (3.46),B+ (3.36)
"Vitz, Matthew",HILA 102 - Latin America/Twentieth Centry (A),SP17,54,19,94.7 %,94.7 %,5.34,B (3.16),B+ (3.36)
"Gere, Catherina M.",HISC 117 - History of the Neurosciences (A),SP17,24,10,100.0 %,100.0 %,4.1,B+ (3.63),B+ (3.36)
"Hillman, Susanne",HIEU 109 - Nationalism in Europe (A),SP16,54,42,95.1 %,92.7 %,4.86,B+ (3.38),B+ (3.36)
"Lettieri, Michael Joseph",HILA 132 - History of Contemporary Mexico (A),SP14,35,29,89.7 %,96.6 %,5.26,B+ (3.48),B+ (3.36)
"Edelman, Robert S.",HIEU 156 - Hist. Soviet Union 1905-1991 (A),WI14,44,9,100.0 %,88.9 %,5.83,B (3.29),B+ (3.36)
"Depies, Gregory J",HIEA 111 - Japan:Twelfth - Mid-Nineteen C (A),FA13,80,45,75.6 %,84.4 %,6.59,B+ (3.44),B+ (3.36)
"Marino, John A.",HIEU 124GS - The City In Italy (A),S113,23,1,100.0 %,100.0 %,4.5,B (3.00),B+ (3.36)
"Marino, John A.",HIEU 120 - The Renaissance in Italy (A),SP13,42,10,90.0 %,90.0 %,4.1,B+ (3.50),B+ (3.36)
"Watts, Edward J.",HIEU 102 - Roman History (A),WI13,85,36,97.2 %,97.2 %,5.15,B+ (3.55),B+ (3.36)
"Henry, Todd A.","HIEA 151 - The Two Koreas, 1945-Prsent (A)",SP11,64,30,100.0 %,96.6 %,5.9,B+ (3.61),B+ (3.36)
"Gere, Catherina M.",HISC 108 - Life Sciences in 20th Century (A),WI11,45,26,100.0 %,100.0 %,3.7,B+ (3.62),B+ (3.36)
"Root, Bradley Walter",HIEU 102A - Ancient Roman Civilization (A),FA09,135,102,98.0 %,100.0 %,4.05,B+ (3.42),B+ (3.36)
"Truant, Cynthia M",HIEU 148 - Women&Gender: Enlght-Vict Era (A),SP09,73,43,92.9 %,92.9 %,5.55,A- (3.73),B+ (3.36)
"Kwak, Nancy",HIUS 142B - US in 20th Century 1945-presnt (A),SP09,45,29,86.2 %,96.6 %,4.22,B+ (3.33),B+ (3.36)
"Truant, Cynthia M",HIEU 131 - French Revolution 1789-1814 (A),WI09,128,68,82.3 %,78.5 %,3.7,B+ (3.61),B+ (3.36)
"Owzar, Armin",HIEU 154 - Mod German/Bismarck to Hitler (A),FA07,40,29,100.0 %,100.0 %,4.09,B+ (3.40),B+ (3.36)
"Alvarez, Luis A","HIUS 146 - Race, Riots & Violence in U.S. (A)",S116,20,6,100.0 %,100.0 %,5.7,B+ (3.60),B+ (3.37)
"Zroka, Amy Liane",HIEU 128 - Europe since 1945 (A),S214,21,10,90.0 %,100.0 %,5.5,A- (3.75),B+ (3.37)
"Sage, Michael",HIEU 144 - Topics in European History (A),WI14,48,20,85.0 %,85.0 %,4.08,B+ (3.67),B+ (3.37)
"Petrick, Elizabeth R",HISC 130 - Technology in the 20th Century (A),FA13,52,23,91.3 %,91.3 %,4.24,B+ (3.60),B+ (3.37)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),FA12,74,28,29.2 %,29.2 %,4.92,B (3.00),B+ (3.37)
"Frolich, Margrit Luise",HIEU 145 - The Holocaust as Public Histry (A),FA12,66,29,96.3 %,85.2 %,5.04,B+ (3.52),B+ (3.37)
"Provence, Michael",HINE 116 - Mid East/Age of Euro Empires (A),WI10,108,42,97.6 %,97.6 %,4.3,B+ (3.67),B+ (3.37)
"Meade, Everard",HILA 131 - History of Mexico:1821-1924 (A),WI08,55,33,71.4 %,83.3 %,4.81,B+ (3.30),B+ (3.37)
"Gere, Catherina M.",HISC 115 - History Modern Medicine (A),FA17,135,50,95.7 %,100.0 %,3.66,B+ (3.59),B+ (3.38)
"Hillman, Susanne",HIEU 137 - New Imperialsm to Decoloniztn (A),SP17,42,33,87.9 %,97.0 %,4.56,B+ (3.52),B+ (3.38)
"Parrish, Michael E.",HILD 2C - United States History (A),SP16,173,60,86.2 %,89.7 %,4.03,B+ (3.44),B+ (3.38)
"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),WI16,126,64,95.1 %,93.4 %,3.78,A- (3.75),B+ (3.38)
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),S215,20,2,100.0 %,100.0 %,4.5,A (4.00),B+ (3.38)
"Widener, Daniel",HITO 155 - Race/Sport/Inequality 20th Cen (A),S215,40,8,87.5 %,87.5 %,11.25,B+ (3.40),B+ (3.38)
"McGovern, William Patrick",HITO 126 - A History of Childhood (A),S115,23,15,100.0 %,100.0 %,6.5,B+ (3.67),B+ (3.38)
"Fuste, Jose Ignacio",HILD 7C - Race & Ethnicity/United States (A),SP15,378,127,82.8 %,90.2 %,4.93,B+ (3.47),B+ (3.38)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),WI15,58,20,89.5 %,84.2 %,3.87,B+ (3.69),B+ (3.38)
"Klein, Rachel",HILD 2B - United States History (A),WI15,186,83,93.7 %,94.9 %,4.21,B+ (3.56),B+ (3.38)
"Hertz, Deborah",HIEU 158 - Why Hitler? How Auschwitz? (A),WI14,114,69,87.0 %,79.7 %,5.49,B+ (3.46),B+ (3.38)
"Goodblatt, David",HINE 102 - The Jews/Their Homelnd/Antiqty (A),WI14,20,12,90.9 %,100.0 %,4.68,B (3.18),B+ (3.38)
"Hillman, Susanne",HIEU 134 - Formatn Russian Emp 800-1855 (A),WI13,60,29,93.1 %,93.1 %,5.26,B+ (3.56),B+ (3.38)
"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),WI13,141,60,89.8 %,98.3 %,4.16,B+ (3.57),B+ (3.38)
"Cahill, Suzanne",HIEA 137 - Women & Family/Chinese History (A),SP12,49,16,93.8 %,93.8 %,4.75,B+ (3.54),B+ (3.38)
"Aronova, Elena",HISC 114 - The Darwinian Legacy (A),WI11,24,12,66.7 %,66.7 %,3.83,B+ (3.55),B+ (3.38)
"Propp, William Henry",HINE 113 - Ancient Near Eastern Mythology (A),FA10,41,38,73.7 %,92.1 %,5.03,B+ (3.49),B+ (3.38)
"Kim, Hyung-Wook",HIEA 144 - Topics in East Asian History (B),FA17,41,12,91.7 %,83.3 %,4.83,B+ (3.50),B+ (3.39)
"Brivio, Alessandra",HIEU 120 - The Renaissance in Italy (A),FA17,69,57,87.7 %,96.5 %,3.9,B+ (3.48),B+ (3.39)
"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),SP17,133,59,96.5 %,100.0 %,3.7,B+ (3.45),B+ (3.39)
"Frolich, Margrit Luise",HIEU 153 - Topics/Modern European History (A),SP16,44,20,89.5 %,84.2 %,4.82,B+ (3.50),B+ (3.39)
"Gallant, Thomas W.",HIEU 117GS - Tradtl Greek Society:Ethnogrph (A),S115,22,3,100.0 %,50.0 %,6.5,B+ (3.50),B+ (3.39)
"Wilkinson, Edward C",HIUS 117 - History of Los Angeles (A),WI13,36,15,80.0 %,80.0 %,3.27,B+ (3.60),B+ (3.39)
"Plant, Rebecca Jo",HIUS 156D - American Women/Amern Womanhood (A),FA12,20,9,100.0 %,100.0 %,4.94,B+ (3.56),B+ (3.39)
"Widener, Daniel",HILA 122 - Cuba:Frm Colony-Socialist Repb (A),WI11,113,49,93.9 %,79.6 %,3.99,B+ (3.68),B+ (3.39)
"Truant, Cynthia M","HIEU 129 - Paris, Past and Present (A)",SP10,106,45,71.1 %,66.7 %,4.23,B+ (3.63),B+ (3.39)
"Edelman, Robert S.",HIEU 156 - Hist. Soviet Union 1905-1991 (A),SP10,99,36,88.9 %,75.0 %,3.56,B+ (3.53),B+ (3.39)
"Provence, Michael",HINE 119 - U.S. Mid-East Policy-Post WWII (A),FA09,132,75,97.3 %,96.0 %,5.67,B+ (3.51),B+ (3.39)
"Provence, Michael",HINE 116 - Mid East/Age of Euro Empires (A),WI09,73,46,100.0 %,95.7 %,3.41,B+ (3.58),B+ (3.39)
"Gere, Catherina M.",HISC 108 - Life Sciences in 20th Century (A),WI16,43,19,94.4 %,94.4 %,3.56,A- (3.78),B+ (3.40)
"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),FA14,67,34,96.9 %,96.9 %,4.11,B+ (3.58),B+ (3.40)
"Keup, Charissa M","HIUS 157 - American Women,Womanhood1870-P (A)",WI14,42,18,82.4 %,94.1 %,4.03,A- (3.82),B+ (3.40)
"Kayali, Hasan",HINE 127 - History of Modern Turkey (A),WI13,57,30,83.3 %,83.3 %,4.9,A- (3.72),B+ (3.40)
"Gere, Catherina M.",HISC 108 - Life Sciences in 20th Century (A),WI13,60,29,96.6 %,100.0 %,3,B+ (3.62),B+ (3.40)
"Widener, Daniel",HIUS 139 - African Amrcn Hist/the 20th C. (A),WI12,11,4,75.0 %,50.0 %,3,A (4.00),B+ (3.40)
"Widener, Daniel",HIUS 139 - African Amrcn Hist/the 20th C. (A),WI12,47,20,90.0 %,90.0 %,4.2,A- (3.71),B+ (3.40)
"Cahill, Suzanne",HIEA 121 - Medieval Chin Culture&Society (A),WI11,62,27,96.2 %,100.0 %,4.5,B+ (3.46),B+ (3.40)
"Kayali, Hasan",HINE 116 - Mid East/Age of Euro Empires (A),WI11,60,31,96.7 %,100.0 %,5.1,A- (3.83),B+ (3.40)
"Truant, Cynthia M",HIEU 153A - Nineteenth-Century France (A),SP10,47,14,85.7 %,85.7 %,4.35,B+ (3.57),B+ (3.40)
"Owzar, Armin",HIEU 154 - Mod German/Bismarck to Hitler (A),FA08,61,36,97.1 %,97.1 %,3.67,B+ (3.62),B+ (3.40)
"Man, Simeon S",HIUS 125 - Asian American Social Movemnts (A),FA17,38,27,88.9 %,92.6 %,5.31,B+ (3.52),B+ (3.41)
"Parrish, Michael E.",HIEU 121GS - Scotl/Engl Civil War 1601-1689 (A),S117,25,3,100.0 %,66.7 %,9.17,B+ (3.67),B+ (3.41)
"Gere, Catherina M.",HISC 115 - History Modern Medicine (A),WI15,100,37,100.0 %,100.0 %,3.47,B+ (3.69),B+ (3.41)
"Reynolds, Edward",HIAF 120 - History of South Africa (A),FA13,35,15,85.7 %,85.7 %,5.27,A- (3.73),B+ (3.41)
"Watts, Edward J.",HIEU 104 - Byzantine Empire (A),FA13,37,10,90.0 %,100.0 %,5.7,A- (3.71),B+ (3.41)
"Wilson, Rai I.",HILD 7A - Race & Ethnicity/United States (A),WI13,364,163,68.6 %,72.3 %,4.41,B+ (3.36),B+ (3.41)
"Edelman, Robert S.",HIEU 156 - Hist. Soviet Union 1905-1991 (A),FA12,42,14,100.0 %,92.3 %,4.81,B+ (3.67),B+ (3.41)
"Frank, Ross H.",HIUS 108A - History/Native Americans/US I (A),FA12,25,14,92.3 %,61.5 %,3.88,B+ (3.45),B+ (3.41)
"Herbst, Matthew",HITO 124 - Mystical Traditions (A),SP12,53,32,87.5 %,100.0 %,5.44,B+ (3.50),B+ (3.41)
"Propp, William Henry",HITO 124 - Mystical Traditions (A),SP12,53,28,85.7 %,85.7 %,4.43,B+ (3.50),B+ (3.41)
"Reynolds, Edward",HIAF 112 - West Africa Since 1880 (A),FA11,62,29,82.8 %,93.1 %,4.64,B+ (3.42),B+ (3.41)
"Owzar, Armin",HIEU 137 - New Imperialsm to Decoloniztn (A),WI11,38,17,88.2 %,100.0 %,5,B+ (3.47),B+ (3.41)
"Hertz, Deborah",HIEU 158 - Why Hitler? How Auschwitz? (A),FA10,126,48,95.7 %,87.0 %,5.83,B+ (3.55),B+ (3.41)
"Miano, David Ringo",HINE 107 - Ancient Egypt:History& Culture (A),SP10,185,100,91.9 %,94.9 %,4.58,A- (3.80),B+ (3.41)
"Hillman, Susanne",HIEU 158 - Why Hitler? How Auschwitz? (A),SP09,164,80,96.2 %,92.4 %,3.74,B+ (3.46),B+ (3.41)
"Caciola, Nancy A",HIEU 107 - PaganEurope&ChristianAftermath (A),WI17,30,14,100.0 %,100.0 %,2.35,A- (3.73),B+ (3.42)
"Henry, Todd A.",HIEA 153 - Social&Cultural Hist/20c Korea (A),FA14,52,24,95.5 %,95.5 %,6.69,B+ (3.63),B+ (3.42)
"Provence, Michael",HINE 118 - Middle East/Twentieth Century (A),SP14,37,13,91.7 %,91.7 %,4,B+ (3.40),B+ (3.42)
"Hanna, Mark G.",HIUS 104 - The Revolutionary Atlantic (A),SP14,53,23,95.5 %,100.0 %,4.4,B+ (3.63),B+ (3.42)
"Fuste, Jose Ignacio",HILD 7B - Race & Ethnicity/United States (A),S213,59,26,100.0 %,100.0 %,9.42,B+ (3.35),B+ (3.42)
"Miano, David Ringo",HIEU 105 - The Early Christian Church (A),S113,20,5,80.0 %,80.0 %,3.3,B+ (3.33),B+ (3.42)
"Weeks, William E",HILD 2A - United States History (A),FA12,154,72,77.3 %,75.8 %,4.94,B+ (3.53),B+ (3.42)
"Gere, Catherina M.",HISC 115 - History Modern Medicine (A),FA12,150,74,96.9 %,98.5 %,4.11,B+ (3.61),B+ (3.42)
"Hillman, Susanne",HIEU 154 - Mod German/Bismarck to Hitler (A),FA11,58,27,88.9 %,92.6 %,5.31,B+ (3.50),B+ (3.42)
"Miano, David Ringo",HINE 107 - Ancient Egypt:History& Culture (A),FA11,164,67,98.5 %,95.5 %,4.53,A- (3.70),B+ (3.42)
"Hertz, Deborah",HIEU 145 - The Holocaust as Public Histry (A),SP10,83,39,92.3 %,87.2 %,4.13,A- (3.75),B+ (3.42)
"Propp, William Henry",HINE 112A - Great Stories Hebrew Bible (A),WI10,27,16,87.5 %,93.8 %,2.38,B+ (3.50),B+ (3.42)
"Edelman, Robert S.",HIEU 156 - Hist. Soviet Union 1905-1991 (A),SP09,82,30,73.3 %,66.7 %,3.23,B+ (3.56),B+ (3.42)
"Meade, Everard",HITO 119 - Human Rights I: Hist. & Theory (A),WI09,40,20,85.0 %,85.0 %,4.4,B (3.21),B+ (3.42)
"Radcliff, Pamela B.","HIEU 146 - Fascism,Communism 1919-1945 (A)",SP17,95,40,97.4 %,97.4 %,5.01,B+ (3.34),B+ (3.43)
"Frank, Ross H.",HIUS 158 - Social & Econ Hist/Southwest I (A),WI16,22,7,100.0 %,100.0 %,6.5,B+ (3.33),B+ (3.43)
"Gere, Catherina M.",HISC 108 - Life Sciences in 20th Century (A),SP15,71,32,96.6 %,100.0 %,3.43,A- (3.74),B+ (3.43)
"Widener, Daniel",HIUS 122 - History & Hollywood (A),S214,40,8,100.0 %,100.0 %,5.93,B+ (3.50),B+ (3.43)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),FA13,47,18,94.4 %,83.3 %,5.39,B+ (3.50),B+ (3.43)
"Edelman, Robert S.",HIEU 134 - Formatn Russian Emp 800-1855 (A),FA11,46,15,93.3 %,64.3 %,5.36,B+ (3.50),B+ (3.43)
"Hillman, Susanne",HIEU 144 - Topics in European History (A),FA11,59,29,96.6 %,96.6 %,5.47,A- (3.77),B+ (3.43)
"Hendrickson, Gerald M.",HIUS 140 - Economic Hist/United States I (A),WI11,113,47,91.3 %,97.8 %,4.14,B+ (3.57),B+ (3.43)
"Postero, Nancy Grey",HMNR 101 - Human Rights II: Contemp Issue (A),SP09,113,62,98.4 %,96.8 %,6.15,N/A,B+ (3.43)
"Radcliff, Pamela B.",HIEU 149 - Women in Europe: 1870-Present (A),WI09,63,32,87.1 %,100.0 %,3.27,B+ (3.69),B+ (3.43)
"Edelman, Robert S.",HIEU 156 - Rus Emp&Soviet Union 1855-1991 (A),WI08,87,43,97.5 %,95.0 %,3.85,B+ (3.50),B+ (3.43)
"Miano, David Ringo",HIEU 102A - Ancient Roman Civilization (A),FA07,173,113,97.3 %,93.6 %,3.4,A- (3.75),B+ (3.43)
"Gere, Catherina M.",HISC 115 - Making Modern Medicine (A),FA07,46,27,100.0 %,100.0 %,3.65,A- (3.78),B+ (3.43)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),WI17,53,18,66.7 %,66.7 %,2.93,B+ (3.36),B+ (3.44)
"Radcliff, Pamela B.","HIEU 146 - Fascism,Communism 1919-1945 (A)",FA13,110,44,100.0 %,100.0 %,5.57,B+ (3.43),B+ (3.44)
"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),SP13,102,24,95.5 %,95.5 %,4.05,B+ (3.60),B+ (3.44)
"Truant, Cynthia M","HIEU 129 - Paris, Past and Present (A)",SP12,111,40,70.0 %,65.0 %,4.6,B+ (3.46),B+ (3.44)
"Widener, Daniel",HILA 122 - Cuba:Frm Colony-Socialist Repb (A),WI12,53,23,100.0 %,87.0 %,5.55,B+ (3.59),B+ (3.44)
"Owzar, Armin",HIEU 153 - Topics/Modern European History (A),FA10,29,14,100.0 %,92.9 %,5.64,B+ (3.67),B+ (3.44)
"Owzar, Armin",HIEU 154 - Mod German/Bismarck to Hitler (A),FA09,55,43,93.0 %,100.0 %,3.76,B+ (3.55),B+ (3.44)
"Hanna, Mark G.",HIUS 104 - The Revolutionary Atlantic (A),FA17,77,43,95.0 %,97.5 %,4.65,B+ (3.65),B+ (3.45)
"Gerth, Karl G.",HIEA 140 - China Contemporary World (A),SP16,50,42,92.9 %,92.9 %,6.45,B+ (3.48),B+ (3.45)
"Klein, Rachel",HILD 2B - United States History (A),WI16,174,81,92.1 %,97.4 %,4.45,B+ (3.59),B+ (3.45)
"Hendrickson, Gerald M.",HIUS 145 - From New Era to New Deal (A),WI16,32,11,100.0 %,100.0 %,4.3,A- (3.70),B+ (3.45)
"Gere, Catherina M.",HILD 30 - History of Public Health (A),FA14,136,50,86.4 %,93.2 %,3.8,B+ (3.40),B+ (3.45)
"Perez-Herrero, Pedro",HILA 102 - Latin America/Twentieth Centry (A),SP14,28,11,100.0 %,90.0 %,4.5,A- (3.70),B+ (3.45)
"Graham, Jessica Lynn",HILD 7A - Race & Ethnicity/United States (A),FA13,428,182,76.4 %,81.5 %,4.66,B+ (3.39),B+ (3.45)
"Reynolds, Edward",HIAF 120 - History of South Africa (A),SP12,50,19,100.0 %,94.7 %,4.39,B+ (3.53),B+ (3.45)
"Shah, Nayan B",HIUS 115 - Hist. of Sexuality in the U.S. (A),FA11,56,23,95.7 %,91.3 %,5.46,B+ (3.35),B+ (3.45)
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),S111,28,10,100.0 %,100.0 %,4.5,A- (3.75),B+ (3.45)
"Harkewicz, Laura J.",HISC 115 - History Modern Medicine (A),SP11,138,65,89.2 %,81.5 %,3.48,A- (3.79),B+ (3.45)
"Meade, Everard",HMNR 100 - Human Rights I: Hist. & Theory (A),WI11,36,22,100.0 %,85.7 %,4.98,N/A,B+ (3.45)
"Shah, Nayan B",HIUS 124 - Asian American History (A),SP10,103,45,77.8 %,86.7 %,4.59,B+ (3.50),B+ (3.45)
"Pereira, Denise",HILA 121 - History Of Brazil (A),WI10,24,8,87.5 %,87.5 %,5.25,B+ (3.57),B+ (3.45)
"Biess, Frank Peter",HIEU 154 - Mod German/Bismarck to Hitler (A),FA16,123,91,96.7 %,97.8 %,5.39,B+ (3.52),B+ (3.46)
"Gere, Catherina M.",HISC 115 - History Modern Medicine (A),FA15,116,36,93.5 %,96.8 %,4.43,A- (3.73),B+ (3.46)
"Frank, Ross H.",HIUS 158 - Social & Econ Hist/Southwest I (A),FA14,22,15,64.3 %,78.6 %,6.07,B (3.22),B+ (3.46)
"Edelman, Robert S.",HITO 155 - Race/Sport/Inequality 20th Cen (A),SP14,33,7,100.0 %,60.0 %,3.3,A (4.00),B+ (3.46)
"Widener, Daniel",HITO 155 - Race/Sport/Inequality 20th Cen (A),SP14,34,5,100.0 %,100.0 %,3.3,A- (3.75),B+ (3.46)
"Bass, Wayne Jeffrey",HIEA 126 - The Silk Road (A),FA13,51,27,96.2 %,96.2 %,5.81,B+ (3.39),B+ (3.46)
"Hillman, Susanne",HIEU 156 - Hist. Soviet Union 1905-1991 (A),S213,26,9,100.0 %,88.9 %,7.5,B+ (3.56),B+ (3.46)
